PontoWeb				DESKTOP	
Pessoas	Basic	PRO	Ultimate	Pessoas	Valor
1670	6513,00	8366,70	11573,10		
1680	6552,00	8416,80	11642,40		
1690	6591,00	8466,90	11711,70		
1700	6630,00	8517,00	11781,00		
1710	6669,00	8567,10	11850,30		
1720	6708,00	8617,20	11919,60		
1730	6747,00	8667,30	11988,90		
1740	6786,00	8717,40	12058,20		
1750	6825,00	8767,50	12127,50		
1760	6864,00	8817,60	12196,80		
1770	6903,00	8867,70	12266,10		
1780	6942,00	8917,80	12335,40		
1790	6981,00	8967,90	12404,70		
1800	7020,00	9018,00	12474,00		
1810	7059,00	9068,10	12543,30		
1820	7098,00	9118,20	12612,60		
1830	7137,00	9168,30	12681,90		
1840	7176,00	9218,40	12751,20		
1850	7215,00	9268,50	12820,50		
1860	7254,00	9318,60	12889,80		
1870	7293,00	9368,70	12959,10		
1880	7332,00	9418,80	13028,40		
1890	7371,00	9468,90	13097,70		
1900	7410,00	9519,00	13167,00		
1910	7449,00	9569,10	13236,30		
1920	7488,00	9619,20	13305,60		
1930	7527,00	9669,30	13374,90		
1940	7566,00	9719,40	13444,20		
1950	7605,00	9769,50	13513,50		
1960	7644,00	9819,60	13582,80		
1970	7683,00	9869,70	13652,10		
1980	7722,00	9919,80	13721,40		
1990	7761,00	9969,90	13790,70		
2000	7800,00	10020,00	13860,00		
2010	7839,00	10070,10	13929,30		
2020	7878,00	10120,20	13998,60		
2030	7917,00	10170,30	14067,90		
2040	7956,00	10220,40	14137,20		
2050	7995,00	10270,50	14206,50		
2060	8034,00	10320,60	14275,80		
2070	8073,00	10370,70	14345,10		
2080	8112,00	10420,80	14414,40		
2090	8151,00	10470,90	14483,70		
2100	8190,00	10521,00	14553,00		
2110	8229,00	10571,10	14622,30		
2120	8268,00	10621,20	14691,60		
2130	8307,00	10671,30	14760,90		
2140	8346,00	10721,40	14830,20		
2150	8385,00	10771,50	14899,50		
2160	8424,00	10821,60	14968,80		
2170	8463,00	10871,70	15038,10		
2180	8502,00	10921,80	15107,40		
2190	8541,00	10971,90	15176,70		
2200	8580,00	11022,00	15246,00		
2210	8619,00	11072,10	15315,30		
2220	8658,00	11122,20	15384,60		
2230	8697,00	11172,30	15453,90		
2240	8736,00	11222,40	15523,20		
2250	8775,00	11272,50	15592,50		
2260	8814,00	11322,60	15661,80		
2270	8853,00	11372,70	15731,10		
2280	8892,00	11422,80	15800,40		
2290	8931,00	11472,90	15869,70		
2300	8970,00	11523,00	15939,00		
2310	9009,00	11573,10	16008,30		
2320	9048,00	11623,20	16077,60		
2330	9087,00	11673,30	16146,90		
2340	9126,00	11723,40	16216,20		
2350	9165,00	11773,50	16285,50		
2360	9204,00	11823,60	16354,80		
2370	9243,00	11873,70	16424,10		
2380	9282,00	11923,80	16493,40		
2390	9321,00	11973,90	16562,70		
2400	9360,00	12024,00	16632,00		
2410	9399,00	12074,10	16701,30		
2420	9438,00	12124,20	16770,60		
2430	9477,00	12174,30	16839,90		
2440	9516,00	12224,40	16909,20		
2450	9555,00	12274,50	16978,50		
2460	9594,00	12324,60	17047,80		
2470	9633,00	12374,70	17117,10		
2480	9672,00	12424,80	17186,40		
2490	9711,00	12474,90	17255,70		
2500	9750,00	12525,00	17325,00		
2510	9789,00	12575,10	17394,30		
2520	9828,00	12625,20	17463,60		
2530	9867,00	12675,30	17532,90		
2540	9906,00	12725,40	17602,20		
2550	9945,00	12775,50	17671,50		
2560	9984,00	12825,60	17740,80		
2570	10023,00	12875,70	17810,10		
2580	10062,00	12925,80	17879,40		
2590	10101,00	12975,90	17948,70		
2600	10140,00	13026,00	18018,00		
2610	10179,00	13076,10	18087,30		
2620	10218,00	13126,20	18156,60		
2630	10257,00	13176,30	18225,90		
2640	10296,00	13226,40	18295,20		
2650	10335,00	13276,50	18364,50		
2660	10374,00	13326,60	18433,80		
2670	10413,00	13376,70	18503,10		
2680	10452,00	13426,80	18572,40		
2690	10491,00	13476,90	18641,70		
2700	10530,00	13527,00	18711,00		
2710	10569,00	13577,10	18780,30		
2720	10608,00	13627,20	18849,60		
2730	10647,00	13677,30	18918,90		
2740	10686,00	13727,40	18988,20		
2750	10725,00	13777,50	19057,50		
2760	10764,00	13827,60	19126,80		
2770	10803,00	13877,70	19196,10		
2780	10842,00	13927,80	19265,40		
2790	10881,00	13977,90	19334,70		
2800	10920,00	14028,00	19404,00		
2810	10959,00	14078,10	19473,30		
2820	10998,00	14128,20	19542,60		
2830	11037,00	14178,30	19611,90		
2840	11076,00	14228,40	19681,20		
2850	11115,00	14278,50	19750,50		
2860	11154,00	14328,60	19819,80		
2870	11193,00	14378,70	19889,10		
2880	11232,00	14428,80	19958,40		
2890	11271,00	14478,90	20027,70		
2900	11310,00	14529,00	20097,00		
2910	11349,00	14579,10	20166,30		
2920	11388,00	14629,20	20235,60		
2930	11427,00	14679,30	20304,90		
2940	11466,00	14729,40	20374,20		
2950	11505,00	14779,50	20443,50		
2960	11544,00	14829,60	20512,80		
2970	11583,00	14879,70	20582,10		
2980	11622,00	14929,80	20651,40		
2990	11661,00	14979,90	20720,70		
3000	11700,00	15030,00	20790,00		
3010	11739,00	15080,10	20859,30		
3020	11778,00	15130,20	20928,60		
3030	11817,00	15180,30	20997,90		
3040	11856,00	15230,40	21067,20		
3050	11895,00	15280,50	21136,50		
3060	11934,00	15330,60	21205,80		
3070	11973,00	15380,70	21275,10		
3080	12012,00	15430,80	21344,40		
3090	12051,00	15480,90	21413,70		
3100	12090,00	15531,00	21483,00		
3110	12129,00	15581,10	21552,30		
3120	12168,00	15631,20	21621,60		
3130	12207,00	15681,30	21690,90		
3140	12246,00	15731,40	21760,20		
3150	12285,00	15781,50	21829,50		
3160	12324,00	15831,60	21898,80		
3170	12363,00	15881,70	21968,10		
3180	12402,00	15931,80	22037,40		
3190	12441,00	15981,90	22106,70		
3200	12480,00	16032,00	22176,00		
3210	12519,00	16082,10	22245,30		
3220	12558,00	16132,20	22314,60		
3230	12597,00	16182,30	22383,90		
3240	12636,00	16232,40	22453,20		
3250	12675,00	16282,50	22522,50		
3260	12714,00	16332,60	22591,80		
3270	12753,00	16382,70	22661,10		
3280	12792,00	16432,80	22730,40		
3290	12831,00	16482,90	22799,70		
3300	12870,00	16533,00	22869,00		
3310	12909,00	16583,10	22938,30		
3320	12948,00	16633,20	23007,60		
3330	12987,00	16683,30	23076,90		
3340	13026,00	16733,40	23146,20		
3350	13065,00	16783,50	23215,50		
3360	13104,00	16833,60	23284,80		
3370	13143,00	16883,70	23354,10		
3380	13182,00	16933,80	23423,40		
3390	13221,00	16983,90	23492,70		
3400	13260,00	17034,00	23562,00		
3410	13299,00	17084,10	23631,30		
3420	13338,00	17134,20	23700,60		
3430	13377,00	17184,30	23769,90		
3440	13416,00	17234,40	23839,20		
3450	13455,00	17284,50	23908,50		
3460	13494,00	17334,60	23977,80		
3470	13533,00	17384,70	24047,10		
3480	13572,00	17434,80	24116,40		
3490	13611,00	17484,90	24185,70		
3500	13650,00	17535,00	24255,00		
3510	13689,00	17585,10	24324,30		
3520	13728,00	17635,20	24393,60		
3530	13767,00	17685,30	24462,90		
3540	13806,00	17735,40	24532,20		
3550	13845,00	17785,50	24601,50		
3560	13884,00	17835,60	24670,80		
3570	13923,00	17885,70	24740,10		
3580	13962,00	17935,80	24809,40		
3590	14001,00	17985,90	24878,70		
3600	14040,00	18036,00	24948,00		
3610	14079,00	18086,10	25017,30		
3620	14118,00	18136,20	25086,60		
3630	14157,00	18186,30	25155,90		
3640	14196,00	18236,40	25225,20		
3650	14235,00	18286,50	25294,50		
3660	14274,00	18336,60	25363,80		
3670	14313,00	18386,70	25433,10		
3680	14352,00	18436,80	25502,40		
3690	14391,00	18486,90	25571,70		
3700	14430,00	18537,00	25641,00		
3710	14469,00	18587,10	25710,30		
3720	14508,00	18637,20	25779,60		
3730	14547,00	18687,30	25848,90		
3740	14586,00	18737,40	25918,20		
3750	14625,00	18787,50	25987,50		
3760	14664,00	18837,60	26056,80		
3770	14703,00	18887,70	26126,10		
3780	14742,00	18937,80	26195,40		
3790	14781,00	18987,90	26264,70		
3800	14820,00	19038,00	26334,00		
3810	14859,00	19088,10	26403,30		
3820	14898,00	19138,20	26472,60		
3830	14937,00	19188,30	26541,90		
3840	14976,00	19238,40	26611,20		
3850	15015,00	19288,50	26680,50		
3860	15054,00	19338,60	26749,80		
3870	15093,00	19388,70	26819,10		
3880	15132,00	19438,80	26888,40		
3890	15171,00	19488,90	26957,70		
3900	15210,00	19539,00	27027,00		
3910	15249,00	19589,10	27096,30		
3920	15288,00	19639,20	27165,60		
3930	15327,00	19689,30	27234,90		
3940	15366,00	19739,40	27304,20		
3950	15405,00	19789,50	27373,50		
